# 网络用语与聊天短语候选表（起草，待维护者审）。2026-09-22，收词标准、次数档位与接入命令见同目录 README.md。
# 来源：起草者自身的中文互联网知识，没有抄任何外部词表，无许可约束；每条都对着 dict.tsv / lm-unigram.tsv / phrases.tsv / common_words.tsv / domain_words.tsv 标了现状。
# 建议次数与 dict.tsv 词频同一尺度。汉字词三档：低 20、中 200、高 2000；中英混杂另按 mixed_words.tsv 的尺度：低 300、中 2000、高 8000。
# gaps 合成次数高于档位值时取合成次数（与 common_words.tsv 的做法一致）。词库现状为「已有」的默认不进（supplement 会跳过已有词），保留在表里供比对。
词	拼音	类别	说明	建议次数	词库现状
PR	p r	mixed	代码合并请求	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
QPS	q p s	mixed	每秒请求数	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
P0	p 0	mixed	最高优先级的问题	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
P1	p 1	mixed	次高优先级的问题	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
bug	b u g	mixed	程序里的缺陷	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
review	r e v i e w	mixed	代码或方案评审	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
demo	d e m o	mixed	演示用的样例	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
下单	xia dan	life	在网上提交订单	-	已有（词库 89，模型 387）
拼单	pin dan	life	和别人合在一起下一单	-	已有（词库 294，模型 300）
凑单	cou dan	life	多买点凑到满减门槛	200	缺（合成 105）
加购	jia gou	life	把商品加进购物车	200	缺（合成 93）
购物车	gou wu che	life	暂存想买商品的地方	-	已有（词库 1615，模型 1661，来自补充常用词）
收藏	shou cang	life	把商品或内容存起来	-	已有（词库 6893，模型 21183）
比价	bi jia	life	对比几家的价格	-	已有（词库 44，模型 253）
砍价	kan jia	life	让卖家便宜一点	-	已有（词库 319，模型 341）
优惠券	you hui quan	life	下单时能抵钱的券	-	已有（词库 60，模型 200，来自补充常用词）
领券	ling quan	life	把优惠券领到账户	200	缺（合成 82）
满减	man jian	life	买够多少减多少	-	已有（词库 135，模型 138，来自补充常用词）
秒杀	miao sha	life	限时低价抢购	-	已有（词库 1573，模型 2048）
预售	yu shou	life	先付定金后发货	-	已有（词库 1359，模型 2322）
现货	xian huo	life	有货可以马上发	-	已有（词库 43，模型 239）
补货	bu huo	life	卖家重新上货	-	已有（词库 529，模型 577）
断货	duan huo	life	卖完了暂时没有	-	已有（词库 565，模型 615）
缺货	que huo	life	库存不足	-	已有（词库 313，模型 449）
发货	fa huo	life	卖家把货寄出	-	已有（词库 76，模型 305）
已发货	yi fa huo	life	订单状态：货已寄出	200	缺（成分拆不出，无合成次数）
待发货	dai fa huo	life	订单状态：还没寄出	200	缺（成分拆不出，无合成次数）
物流	wu liu	life	包裹的运送过程	-	已有（词库 2233，模型 6840）
快递	kuai di	life	寄送包裹的服务	-	已有（词库 15118，模型 17001）
运单号	yun dan hao	life	查快递用的编号	-	已有（词库 25，模型 25，来自补充常用词）
单号	dan hao	life	订单或快递的编号	-	已有（词库 467，模型 605）
签收	qian shou	life	收下包裹	-	已有（词库 592，模型 659）
驿站	yi zhan	life	代收快递的小店	-	已有（词库 436，模型 1588）
快递柜	kuai di gui	life	放包裹的自助柜子	-	已有（词库 67，模型 119，来自补充常用词）
取件	qu jian	life	去拿包裹	-	已有（词库 76，模型 111，来自补充常用词）
取件码	qu jian ma	life	开柜取包裹的号码	200	缺（成分拆不出，无合成次数）
送货上门	song huo shang men	life	快递送到家门口	378	缺（合成 378）
次日达	ci ri da	life	第二天就能收到	200	缺（合成 23）
包邮	bao you	life	不用另付运费	-	已有（词库 3443，模型 3457）
邮费	you fei	life	寄东西的费用	-	已有（词库 1778，模型 1829）
运费险	yun fei xian	life	退货运费由保险赔	200	缺（合成 46）
退货	tui huo	life	把货寄回给卖家	-	已有（词库 1067，模型 1345）
退款	tui kuan	life	把钱退回来	-	已有（词库 1282，模型 1731）
退换	tui huan	life	退货或换货	-	已有（词库 239，模型 286）
退差价	tui cha jia	life	降价后退回差的钱	200	缺（成分拆不出，无合成次数）
仅退款	jin tui kuan	life	不退货只退钱	200	缺（成分拆不出，无合成次数）
售后	shou hou	life	买完之后的服务	-	已有（词库 1565，模型 2100）
客服	ke fu	life	平台或店铺的服务人员	-	已有（词库 5163，模型 5945）
转人工	zhuan ren gong	life	从机器人转到真人	200	缺（合成 21）
投诉	tou su	life	向平台反映问题	-	已有（词库 1544，模型 5959）
差评	cha ping	life	打低分的评价	-	已有（词库 3818，模型 4269）
好评	hao ping	life	打高分的评价	-	已有（词库 6204，模型 15520）
追评	zhui ping	life	用一段时间后再评	20	缺（成分拆不出，无合成次数）
晒单	shai dan	life	把买到的东西发出来	200	缺（合成 116）
评价	ping jia	life	对商品或服务打分留言	-	已有（词库 11809，模型 51290）
七天无理由	qi tian wu li you	life	七天内可直接退货	200	缺（成分拆不出，无合成次数）
质保	zhi bao	life	一定期限内保证质量	200	缺（合成 75）
保修	bao xiu	life	坏了可以免费修	-	已有（词库 707，模型 972）
发票	fa piao	life	购物的正式凭证	-	已有（词库 1127，模型 1818）
开发票	kai fa piao	life	让商家出具发票	200	缺（合成 40）
收货地址	shou huo di zhi	life	包裹要寄到的地址	200	缺（成分拆不出，无合成次数）
改地址	gai di zhi	life	修改收货地址	200	缺（合成 89）
订单号	ding dan hao	life	一笔订单的编号	200	缺（成分拆不出，无合成次数）
已付款	yi fu kuan	life	订单状态：钱已付	200	缺（合成 29）
待付款	dai fu kuan	life	订单状态：还没付钱	200	缺（成分拆不出，无合成次数）
支付失败	zhi fu shi bai	life	付钱没成功	200	缺（成分拆不出，无合成次数）
确认收货	que ren shou huo	life	点一下表示货已收到	2000	缺（成分拆不出，无合成次数）
申请退款	shen qing tui kuan	life	向卖家提出退钱	2000	缺（合成 169）
退款成功	tui kuan cheng gong	life	钱已经退回来了	200	缺（合成 19）
到货	dao huo	life	东西送到了	2000	缺（合成 193）
库存	ku cun	life	店里还剩多少货	-	已有（词库 410，模型 1879）
尺码	chi ma	life	衣服鞋子的大小	-	已有（词库 646，模型 858）
旗舰店	qi jian dian	life	品牌在平台的官方店	-	已有（词库 790，模型 1569，来自补充常用词）
拆快递	chai kuai di	life	打开收到的包裹	200	缺（合成 108）
下架	xia jia	life	商品不再卖了	-	已有（词库 2370，模型 3994）
上架	shang jia	life	商品开始卖	-	已有（词库 2069，模型 4324）
到手价	dao shou jia	life	算完优惠的实付价	200	缺（合成 22）
尾款	wei kuan	life	预售时后付的那部分	-	已有（词库 137，模型 183，来自补充常用词）
定金	ding jin	life	预售时先付的那部分	-	已有（词库 26，模型 111）
重发	chong fa	life	让卖家再寄一次	-	已有（词库 575，模型 743）
重拍	chong pai	life	重新下一次单	1037	缺（合成 1037）
拍下	pai xia	life	把商品买下来	1896	缺（合成 1896）
换货	huan huo	life	换一件同样的商品	-	已有（词库 109，模型 136）
寄回	ji hui	life	把东西寄还给卖家	285	缺（合成 285）
上门取件	shang men qu jian	life	快递上门来收退货	200	缺（成分拆不出，无合成次数）
派送	pai song	life	快递正在送	-	已有（词库 309，模型 538）
便宜	pian yi	life	价格低	-	已有（词库 19718，模型 23158）
加急	jia ji	life	让对方快点处理	-	已有（词库 193，模型 238）
收货	shou huo	life	把包裹收下	2000	缺（合成 127）
测评	ce ping	life	对比试用后写结论	-	已有（词库 709，模型 1067）
实测	shi ce	life	自己亲自试过	-	已有（词库 211，模型 625）
无广	wu guang	life	不是广告	20	缺（成分拆不出，无合成次数）
恰饭	qia fan	life	博主接广告赚钱	200	缺（合成 117）
广子	guang zi	life	广告的俗称	142	缺（合成 142）
求推荐	qiu tui jian	life	请大家推荐	-	已有（词库 2208，模型 2208，来自短语层）
求链接	qiu lian jie	life	问在哪买	200	缺（成分拆不出，无合成次数）
已下单	yi xia dan	life	已经买了	200	缺（成分拆不出，无合成次数）
回购	hui gou	life	用得好再买一次	-	已有（词库 155，模型 636）
白菜价	bai cai jia	life	非常便宜的价格	200	缺（合成 96）
闭眼入	bi yan ru	life	不用犹豫直接买	20	缺（成分拆不出，无合成次数）
避坑	bi keng	life	绕开已知的问题	200	缺（成分拆不出，无合成次数）
无脑冲	wu nao chong	life	不用多想赶紧买	20	缺（成分拆不出，无合成次数）
冲一波	chong yi bo	life	一起去买或参与	20	缺（成分拆不出，无合成次数）
好物	hao wu	life	值得买的东西	200	缺（合成 106）
点外卖	dian wai mai	life	在手机上叫饭	2000	缺（合成 847）
外卖	wai mai	life	送上门的餐	-	已有（词库 9960，模型 10731）
骑手	qi shou	life	送外卖的人	-	已有（词库 229，模型 744）
送达	song da	life	已经送到	-	已有（词库 334，模型 948）
预计送达	yu ji song da	life	大概什么时候到	200	缺（成分拆不出，无合成次数）
催单	cui dan	life	催商家快一点	200	缺（合成 52）
备注	bei zhu	life	下单时写的要求	-	已有（词库 3397，模型 15822）
少放辣	shao fang la	life	让厨房少加辣	200	缺（成分拆不出，无合成次数）
不要香菜	bu yao xiang cai	life	常见的点餐要求	200	缺（合成 15）
自取	zi qu	life	自己去拿	-	已有（词库 1220，模型 1573）
到店自取	dao dian zi qu	life	去店里自己拿餐	20	缺（成分拆不出，无合成次数）
堂食	tang shi	life	在店里吃	457	缺（合成 457）
打包带走	da bao dai zou	life	装好带出店	348	缺（合成 348）
打包盒	da bao he	life	装饭菜的盒子	25	缺（合成 25）
餐具	can ju	life	筷子勺子等	-	已有（词库 798，模型 1451）
免餐具	mian can ju	life	下单时不要餐具	200	缺（成分拆不出，无合成次数）
配送费	pei song fei	life	送餐要付的钱	-	已有（词库 119，模型 123，来自补充常用词）
红包	hong bao	life	可抵钱的优惠或现金	-	已有（词库 215，模型 743）
返现	fan xian	life	买完退回一部分钱	200	缺（合成 125）
会员	hui yuan	life	付费享受权益的身份	-	已有（词库 16629，模型 40701）
开会员	kai hui yuan	life	付费成为会员	408	缺（合成 408）
续费	xu fei	life	继续付费延长	-	已有（词库 386，模型 406）
月卡	yue ka	life	一个月有效的卡	200	缺（合成 97）
拼好饭	pin hao fan	life	拼在一起的便宜餐	200	缺（成分拆不出，无合成次数）
团购	tuan gou	life	多人一起低价买	-	已有（词库 2148，模型 2435）
团购券	tuan gou quan	life	团购买来的券	200	缺（合成 18）
代金券	dai jin quan	life	能当钱花的券	200	缺（合成 184）
探店	tan dian	life	去店里试并分享	200	缺（合成 150）
排队	pai dui	life	等着轮到自己	-	已有（词库 8499，模型 9968）
取号	qu hao	life	拿一个等候号	200	缺（合成 185）
叫号	jiao hao	life	喊号轮到谁	-	已有（词库 26）
扫码点单	sao ma dian dan	life	扫桌上的码点菜	200	缺（成分拆不出，无合成次数）
买单	mai dan	life	付饭钱	-	已有（词库 1573，模型 1740）
请客	qing ke	life	我来付钱	-	已有（词库 6651，模型 6822）
加辣	jia la	life	多放一点辣	178	缺（合成 178）
微辣	wei la	life	一点点辣	-	已有（词库 474，模型 576）
少冰	shao bing	life	饮料少放冰	200	缺（合成 37）
送餐	song can	life	把饭送过来	-	已有（词库 362，模型 509）
打车	da che	life	叫出租或网约车	-	已有（词库 3001，模型 3102）
叫车	jiao che	life	在手机上下单用车	277	缺（合成 277）
拼车	pin che	life	和别人合坐一辆	-	已有（词库 690，模型 801）
顺风车	shun feng che	life	顺路捎带的车	-	已有（词库 713，模型 848，来自补充常用词）
专车	zhuan che	life	车型更好的网约车	-	已有（词库 711，模型 1397）
快车	kuai che	life	便宜的网约车	-	已有（词库 1367，模型 5990）
网约车	wang yue che	life	手机叫的车	200	缺（成分拆不出，无合成次数）
司机	si ji	life	开车的人	-	已有（词库 14613，模型 25496）
师傅	shi fu	life	对司机的称呼	-	已有（词库 9335，模型 13032）
下车	xia che	life	从车里出来	-	已有（词库 6857，模型 14757）
改派	gai pai	life	换一个司机接单	879	缺（合成 879）
取消订单	qu xiao ding dan	life	把已下的单取消	2000	缺（合成 45）
等车	deng che	life	在路边等	1104	缺（合成 1104）
发车	fa che	life	车开始出发	-	已有（词库 1796，模型 5846）
晚点	wan dian	life	比表定时间晚	-	已有（词库 5339，模型 5663）
高铁	gao tie	life	快速铁路列车	-	已有（词库 8951，模型 17965）
动车	dong che	life	一种铁路列车	-	已有（词库 6073，模型 16437）
候车	hou che	life	在站里等车	-	已有（词库 1306，模型 4616）
检票	jian piao	life	进站时查票	-	已有（词库 899，模型 2277）
进站	jin zhan	life	走进车站	3524	缺（合成 3524）
出站	chu zhan	life	走出车站	2563	缺（合成 2563）
改签	gai qian	life	换一个班次	-	已有（词库 1143，模型 1273）
退票	tui piao	life	把票退掉	-	已有（词库 739，模型 951）
抢票	qiang piao	life	抢紧张的车票	-	已有（词库 1378，模型 1433）
候补	hou bu	life	排队等别人退票	-	已有（词库 2991，模型 10757）
加速包	jia su bao	life	号称抢票更快的付费项	20	缺（合成 18）
值机	zhi ji	life	坐飞机前选座办登机	463	缺（合成 463）
登机	deng ji	life	上飞机	-	已有（词库 1468，模型 3669）
托运	tuo yun	life	把行李交给航司运	-	已有（词库 2104，模型 2838）
行李	xing li	life	出门带的箱包	-	已有（词库 5155，模型 9039）
安检	an jian	life	进站上机前的检查	-	已有（词库 2377，模型 3521）
延误	yan wu	life	航班或车次晚了	-	已有（词库 2114，模型 4384）
接机	jie ji	life	去机场接人	-	已有（词库 1277，模型 1511）
送机	song ji	life	送人去机场	404	缺（合成 404）
堵车	du che	life	路上车多走不动	-	已有（词库 2764，模型 2879）
绕路	rao lu	life	走了更远的路	-	已有（词库 310，模型 432）
限行	xian xing	life	某些车某天不能上路	-	已有（词库 291，模型 472）
限号	xian hao	life	按车牌尾号限制出行	-	已有（词库 213，模型 230）
停车	ting che	life	把车停下	-	已有（词库 4543，模型 12362）
停车场	ting che chang	life	停车的地方	-	已有（词库 3745，模型 15337）
车位	che wei	life	停一辆车的位置	-	已有（词库 1074，模型 2529）
充电桩	chong dian zhuang	life	给电车充电的设备	200	缺（合成 169）
充电	chong dian	life	给电池补电	-	已有（词库 5740，模型 8969）
续航	xu hang	life	能跑多远或用多久	-	已有（词库 1223，模型 2625）
扫码骑车	sao ma qi che	life	扫码解锁共享单车	20	缺（成分拆不出，无合成次数）
共享单车	gong xiang dan che	life	街边可扫码骑的自行车	-	已有（词库 644，模型 794，来自补充常用词）
还车	huan che	life	把车还回去	200	缺（合成 163）
开锁	kai suo	life	把车锁打开	-	已有（词库 411，模型 732）
起步价	qi bu jia	life	最低要付的车费	314	缺（合成 314）
高峰期	gao feng qi	life	人多车多的时段	-	已有（词库 876，模型 2207）
导航	dao hang	life	手机指路	-	已有（词库 1886，模型 5930）
路线	lu xian	life	走哪条道	-	已有（词库 20188，模型 102359）
目的地	mu di di	life	要去的地方	-	已有（词库 2070，模型 7636）
到站	dao zhan	life	车到了站	-	已有（词库 651，模型 1923）
换乘	huan cheng	life	中途换一趟车	-	已有（词库 3200，模型 15654）
地铁	di tie	life	城市轨道交通	-	已有（词库 26484，模型 79859）
公交	gong jiao	life	公共汽车	-	已有（词库 11572，模型 26544）
车牌号	che pai hao	life	车的牌照号码	338	缺（合成 338）
订机票	ding ji piao	life	买飞机票	249	缺（合成 249）
订酒店	ding jiu dian	life	预订住的地方	200	缺（合成 121）
退房	tui fang	life	离店结束住宿	200	缺（合成 190）
入住	ru zhu	life	办手续住进去	-	已有（词库 1414，模型 3899）
ETC	e t c	mixed	高速不停车收费	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
点赞	dian zan	life	点一下表示喜欢	-	已有（词库 194，模型 407，来自补充常用词）
转发	zhuan fa	life	把内容发给别处	-	已有（词库 9209，模型 11068）
分享	fen xiang	life	把内容发给别人	-	已有（词库 2415，模型 10674）
评论	ping lun	life	在内容下面留言	-	已有（词库 11775，模型 49816）
私信	si xin	life	私下发消息	-	已有（词库 36，模型 125，来自补充常用词）
关注	guan zhu	life	订阅某个账号	-	已有（词库 52137，模型 76402）
取关	qu guan	life	取消关注	-	已有（词库 4215，模型 4244）
屏蔽	ping bi	life	不再看到某人或内容	-	已有（词库 4723，模型 6873）
置顶	zhi ding	life	固定在最上面	-	已有（词库 1340，模型 1423）
发帖	fa tie	life	在论坛发内容	-	已有（词库 810，模型 1318）
楼主	lou zhu	life	发帖的那个人	-	已有（词库 2134，模型 2419）
盖楼	gai lou	life	跟帖一层一层堆	-	已有（词库 366，模型 389）
沙发	sha fa	life	第一条评论	-	已有（词库 164，模型 896）
后续	hou xu	life	之后发生的事	-	已有（词库 4969，模型 19778）
更新	geng xin	life	发出新的内容或版本	-	已有（词库 20976，模型 40957）
开播	kai bo	life	开始直播	-	已有（词库 3760，模型 13830）
直播	zhi bo	life	实时播出	-	已有（词库 27036，模型 43329）
下播	xia bo	life	结束直播	200	缺（合成 92）
打赏	da shang	life	给主播送钱或礼物	-	已有（词库 529，模型 638）
榜一	bang yi	life	打赏最多的那个人	81	缺（合成 81）
上热搜	shang re sou	life	进了热门搜索榜	-	已有（词库 1142，模型 1157，来自补充常用词）
热搜	re sou	life	热门搜索榜	-	已有（词库 4501，模型 4936）
热榜	re bang	life	热门内容排行	-	已有（词库 20，模型 54，来自补充常用词）
话题	hua ti	life	带标签的讨论主题	-	已有（词库 9865，模型 16167）
超话	chao hua	life	某个主题的聚集区	-	已有（词库 2130，模型 2167）
投稿	tou gao	life	把作品交给平台	-	已有（词库 1542，模型 3499）
过稿	guo gao	life	投稿被采用	22	缺（合成 22）
审核中	shen he zhong	life	平台正在检查	200	缺（合成 35）
违规	wei gui	life	不符合平台规则	-	已有（词库 1116，模型 4172）
封号	feng hao	life	账号被禁用	-	已有（词库 872，模型 3010）
解封	jie feng	life	账号恢复使用	-	已有（词库 441，模型 988）
小号	xiao hao	life	备用的账号	-	已有（词库 6143，模型 7616）
大号	da hao	life	主要用的账号	-	已有（词库 2321，模型 2820）
已阅	yi yue	life	看过了	-	已有（词库 260，模型 277）
已读	yi du	life	对方已经看过	-	已有（词库 229，模型 390，来自补充常用词）
回复	hui fu	life	回一条消息	-	已有（词库 42254，模型 50309）
艾特	ai te	life	在消息里点名某人	-	已有（词库 10531，模型 11359）
引流	yin liu	life	把人引到别处	-	已有（词库 119，模型 393）
粉丝	fen si	life	关注某账号的人	-	已有（词库 5091，模型 16803）
博主	bo zhu	life	发内容的账号主人	-	已有（词库 14553，模型 14881）
主页	zhu ye	life	账号的首页	-	已有（词库 2591，模型 6280）
动态	dong tai	life	发出的近况	-	已有（词库 4219，模型 13280）
朋友圈	peng you quan	life	好友近况的页面	-	已有（词库 10129，模型 10294，来自短语层）
群聊	qun liao	life	多人一起的聊天	-	已有（词库 234，模型 279）
加好友	jia hao you	life	添加联系人	549	缺（合成 549）
扫一扫	sao yi sao	life	用相机扫码	-	已有（词库 85，模型 89）
发语音	fa yu yin	life	发一条语音消息	260	缺（合成 260）
视频通话	shi pin tong hua	life	带画面的通话	200	缺（成分拆不出，无合成次数）
P图	p tu	mixed	修改图片	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
转账	zhuan zhang	life	把钱转给别人	-	已有（词库 70，模型 274）
收款	shou kuan	life	收别人给的钱	-	已有（词库 79，模型 312）
付款码	fu kuan ma	life	给别人扫的付钱码	-	已有（词库 20，模型 19，来自补充常用词）
收款码	shou kuan ma	life	别人扫来付钱的码	200	缺（成分拆不出，无合成次数）
扫码	sao ma	life	扫二维码	-	已有（词库 465，模型 878）
账单	zhang dan	life	花钱的明细	-	已有（词库 346，模型 572）
月供	yue gong	life	每月要还的钱	200	缺（合成 89）
还款	huan kuan	life	把借的钱还上	-	已有（词库 255，模型 713，来自补充常用词）
分期	fen qi	life	分几次付款	-	已有（词库 802，模型 2158）
免息	mian xi	life	分期不收利息	200	缺（合成 157）
到账	dao zhang	life	钱已经收到	2000	缺（成分拆不出，无合成次数）
提现	ti xian	life	把余额转到银行卡	-	已有（词库 501，模型 567）
余额	yu e	life	账户里还剩的钱	-	已有（词库 288，模型 1338）
充值	chong zhi	life	往账户里存钱	-	已有（词库 1322，模型 2163）
发红包	fa hong bao	life	给别人发钱	2000	缺（合成 16）
抢红包	qiang hong bao	life	去点群里的红包	200	缺（成分拆不出，无合成次数）
拼手气	pin shou qi	life	金额随机的红包	200	缺（合成 32）
凑份子	cou fen zi	life	几个人一起出钱	-	已有（词库 15，模型 17）
代付	dai fu	life	让别人帮忙付	200	缺（合成 76）
免密	mian mi	life	小额不用输密码	200	缺（合成 15）
刷脸	shua lian	life	用人脸验证	-	已有（词库 527，模型 552）
刷卡	shua ka	life	用银行卡付钱	-	已有（词库 1160，模型 2343）
原路退回	yuan lu tui hui	life	按原来的方式退钱	200	缺（成分拆不出，无合成次数）
实名认证	shi ming ren zheng	life	提交真实身份信息	200	缺（合成 197）
VIP	v i p	mixed	付费会员身份	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
APP	a p p	mixed	手机上的应用	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
